description,num_of_ratings,rating,price_after_discount,price_before_discount,is_bestseller,product_category,discount
T800 Ultra Series 8 Smart Watch 2.08 Inch IPS display NFC Bluetooth V5 Call Waterproof IP67 Wireless Charger,542,3.3,366,800,No,smart watch,54%
Wearfit Pro X8+ Plus Ultra Series 8 Smart watch 2.08 Inch IPS display NFC Bluetooth V5 Call Waterproof IP67 Wireless Charger - Black,2000,4,675,1999,No,smart watch,66%
"Amazfit Pop 3s Ultra-large 1.96"" HD AMOLED Display,Fashionable Curved & Metallic Design With Bluetooth Phone Calls Silver",213,4.3,2300,2300,No,smart watch,0%
Haino Teko G9 Mini Rose Gold Edition Ladies Smart Watch with Three Set Strap and Stylish Bracelet Combo,20,4.4,1749,1897,No,smart watch,8%
X-Inova MX10 - Luxury Smart Watch 7 Watch Bands - Black,46,4.2,875,1500,No,smart watch,42%
JOYROOM 300mAh JR-FT5 Fit-Life Smart Watch Can Make and Answer Calls 1.83-inch HD Screen 80 Sports Modes Fitness Monitor Health Monitor Monitor Blood Oxygen Blood Pressure Heart Rate Pressure Sleep Monitoring Message Reminder Smart Watch Suitable for Men Women Smart Watch Compatible with Apple Android Phone Black,1100,4.1,1399,2000,No,smart watch,30%
"Amazfit Active Smart Watch With Ai Fitness Exercise Coach, Gps, Bluetooth Calling, Music, 14 Day Battery, 1.75 Inch Amoled Display, Alexa Built-In, Fitness Watch For Android And iPhone Midnight Black",24,4.2,4849,4849,No,smart watch,0%
"HUAWEI Watch Fit 3 Smartwatch, 1.82 Inch Amoled Display, Comfortable And Stylish Design, Scientific Workout Coach, Upgraded Health Management, Compatible With iOS Android Grey",5400,4.6,5999,7799,No,smart watch,23%
"Xiaomi Smart Band 8 (BHR7166GL) – Champagne Gold, 1.62"" AMOLED, Heart Rate & SpO₂ Monitor, 100+ Sports Modes, 16-Day Battery, 5ATM Water Resistance Gold",3400,4.6,1599,1999,No,smart watch,20%
"cmf by NOTHING Watch Pro Smartwatch With Bluetooth Calling, AMOLED Display, IP68 Water Resistant Ash Grey Strap + Dark Grey",358,4.4,2799,2799,No,smart watch,0%
W&O W&O X9 ultra 2 - Super AMOLED Screen - Smart Watch (49mm/2.2inch) Full Screen | Space Aluminum Case | Wireless Charge (Orange),96,4.1,598,1150,No,smart watch,48%
JOYROOM Smart Watch Answer Make Calls 1.85 Inch Fitness Tracker With Bluetooth Dial Calls Heart Rate Sleep Monitor Pedometer IP68 Waterproof For Android Phones Black,98,4,1950,2269,No,smart watch,14%
"HUAWEI Watch GT 4 46mm Smartwatch, 14 Days Battery Life, Science-based Calorie Management, Dual-Band Five-System GNSS Position, Pulse Wave Arrhythmia Analysis, Heart Rate Monitor, Andriod And iOS Grey",3400,4.6,9188,10199,No,smart watch,10%
