description,num_of_ratings,rating,price_after_discount,price_before_discount,is_bestseller,product_category,discount
Panasonic KX-TG1611 Cordless Phone Black,104,4.6,1949,2300,No,telephone,15%
VictoriaAlMohandes Corded Telephone Blue/Grey,9,3.7,550,650,No,telephone,15%
Alcatel S250 Cordless Telephone,24,4.3,1799,1999,No,telephone,10%
Panasonic KX-T7730 Corded Single Line Telephone White/Grey,3,5,4274,4274,No,telephone,0%
VictoriaAlMohandes Corded Landline Telephone Red,2,5,550,650,No,telephone,15%
VictoriaAlMohandes Corded Telephone Red/Black,0,0,550,550,No,telephone,0%
Alcatel T56 Corded Phone Black,7,4.8,1655,3500,No,telephone,53%
Alcatel T 16 Alcatel phone black,0,0,1140,1140,No,telephone,0%
Panasonic KxTs880 Corded Telephone White,4,5,3488,3488,No,telephone,0%
Alcatel Corded Phone with Caller Id - T56 White,0,0,1546,1546,No,telephone,0%
العدل تك عدة تليفون العدل تك للاتصال الداخلي بخاصية إظهار المتصل,1,4,875,1319,No,telephone,34%
Panasonic Integrated Corded Telephone White,3,5,2196,2196,No,telephone,0%
Victoria Al Mohandes Corded Telephone Red/Black/White,1,5,550,650,No,telephone,15%
VictoriaAlMohandes Corded Telephone White/Yellow,6,4.3,418.95,418.95,No,telephone,0%
EL-Adl.Tec Landline Telephone-109BE WHITE,7,4.3,564,564,No,telephone,0%
VictoriaAlMohandes Corded Telephone Red/White,9,4.2,550,550,No,telephone,0%
Panasonic Cordless Phone With Caller ID Black,56,4.5,2998,2998,No,telephone,0%
VictoriaAlMohandes Cordless Telephone Red/Black,4,2.2,550,650,No,telephone,15%
Victoria Al Mohandes Cordless Telephone Beige/White,1,5,550,650,No,telephone,15%
EL-Adl.Tec Landline Telephone-109BE BLACK,3,4.3,532,532,No,telephone,0%
"EL-Adl.Tec El-adltec corded telephone, 112 C",1,5,599,838.75,No,telephone,29%
PABX Excelltel PABX Telephone System Mini PBX MS series 3/8,0,0,2999,5000,No,telephone,40%
Alcatel Alcatel T26 Black Phone,1,5,1043,1043,No,telephone,0%
EL-Adl.Tec Ground Phone [ Wired] By Fair EL-ADL.TEC: 112C White,0,0,555,555,No,telephone,0%
Panasonic Integrated Corded Telephone Black,4,4.5,1768,1768,No,telephone,0%
Panasonic Conference Phone System White,0,0,22354,22354,No,telephone,0%
EL-Adl.Tec 300BE Corded Phone - White,0,0,681,691,No,telephone,1%
Panasonic KX-TG3611SXM GRAY Panasonic Phone,0,0,2737,2737,No,telephone,0%
Panasonic KX-TG3611BX Cordless Telephone - Black,2,5,2737,2737,No,telephone,0%
Electronic Telephone Toy,38,4,149,149,No,telephone,0%
PABX Excelltel PABX Telephone System Mini PBX MS series 2/8,0,0,2799,5000,No,telephone,44%
"Alcatel Corded Landline Phone T26 (Black) , basic telephone with conventional features and contemporary look",0,0,1350,1900,No,telephone,29%
Panasonic Corded Landline Phone White,47,4,1768,1768,No,telephone,0%
Alcatel Hands Free Cordless Phone Black,16,4.3,2120,2120,No,telephone,0%
EL-Adl.Tec D1002 Cordless Telephone - Black,4,3.8,1459,1459,No,telephone,0%
ألكاتل T 02 تليفون الكاتيل ابيض,0,0,813,813,No,telephone,0%
EL-Adl.Tec Corded Telephone Yellow/Black,0,0,550,650,No,telephone,15%
PABX senteral pabx 24/4 port,0,0,9290,10975,No,telephone,15%
Panasonic Panasonic Single Line 2.4GHz KX-TG3611SX Digital -Black,6,4.2,2600,3222,No,telephone,19%
Alcatel Alcatel Corded Phone - T76,0,0,2199,2300,No,telephone,4%
"Alcatel Wired Home Phone T28 , White",1,5,1455,2200,No,telephone,34%
Alcatel F 630 - Cordless Telephone-WHITE,0,0,2252,2252,No,telephone,0%
VicoriaAlMohandes Corded Telephone For Landline Red/White,0,0,550,650,No,telephone,15%
VicoriaAlMohandes Corded Telephone Red/White,0,0,550,550,No,telephone,0%
Victoria Al Mohandes Corded Telephone Red,1,5,550,650,No,telephone,15%
EL-Adl.Tec Corded Telephone White,0,0,550,650,No,telephone,15%
Alcatel Cordless Phone - S250 - Blue*Black,3,3.7,2145,2145,No,telephone,0%
Alcatel Corded Telephone - T06 Black,4,4,782,782,No,telephone,0%
Panasonic Wired Landline Phone With Caller ID Black,24,4.7,3488,3488,No,telephone,0%
VictoriaAlMohandes Corded Telephone Blue/White,3,4,485,485,No,telephone,0%
VictoriaAlMohandes Corded Telephone Red/Black,0,0,550,550,No,telephone,0%
"Alcatel Alcatel T28 Wired Home Phone, White",0,0,1399,1679,No,telephone,17%
Panasonic KX-TS560 Caller ID Telephone White,1,4,2460,2460,No,telephone,0%
Alcatel T06 Corded Phone White,2,5,794,794,No,telephone,0%
Alcatel T 28 - CE Alcatel Phone White,0,0,1059,1059,No,telephone,0%
VictoriaAlMohandes Corded Telephone Red/Grey,2,5,550,650,No,telephone,15%
PLAYGO 2-In-1 Telephone And Magic Board,0,0,2190,2190,No,telephone,0%
Generic PEAKTOL FY-500 Corded phone White,0,0,499,850,No,telephone,41%
PLAYGO Tommy The Telephone Multicolour,0,0,1199,1199,No,telephone,0%
Schneider NEW Unica - 1 telephone socket - RJ11 - white,0,0,364,364,No,telephone,0%
Generic Floor Line Cord Phone for Home and Office Multicolour,0,0,650,650,No,telephone,0%
Adsl Broadband Modem Telephone Phone Line Splitter Filter Rj11 White,5,2.2,61,70,No,telephone,13%
Telephone line cord Cable RJ11 150CM 2 pin Compatible with Router And Home Telephone - Black,0,0,33,50,No,telephone,34%
ADSL Modem Splitter For Landline Telephone White,6,4.1,66,66,No,telephone,0%
Gaoxinqi Gaoxinqi Corded Telephone 96C - White,1,5,636,636,No,telephone,0%
"Gaoxinqi Gaoxinqi Corded Telephone, Maroon- 96C",0,0,636,636,No,telephone,0%
PABX PABX Excelltel PABX Telephone System Mini PaBX  series  MS 1/8,0,0,2300,3000,No,telephone,23%
Gaoxinqi Gaoxinqi Corded Telephone 96C - Black,0,0,636,636,No,telephone,0%
EL-Adl.Tec Adl Tech Multi-Color Corded Landline Telephone - 929C,0,0,699,699,No,telephone,0%
EL-Adl.Tec El Adl Tec Landline Phone - Corded Phone - Caller ID - 10BE,4,4.8,579,750,No,telephone,23%
"EL-Adl.Tec Corded Landline Telephone , 102BE - White",1,5,551,551,No,telephone,0%
Panasonic Panasonic KX-TGD310 Digital Cordless Phone-Black,0,0,4499,4499,No,telephone,0%
Auta 700505 Compact Universal Analog Compatible Telephone,1,5,702,702,No,telephone,0%
"EL-Adl.Tec Corded Landline Telephone, 102BE - Black",0,0,551,551,No,telephone,0%
EL-Adl.Tec Adl Tech Corded Landline Phone  999BE,7,3.9,648,799,No,telephone,19%
Alcatel Alcatel white corded ground phone T56,0,0,1750,1770,No,telephone,1%
ADSL Landline Phone Modem Splitter - RJ 11 Female Plug to Dual Female Jack Adapter - (1 Pack),2,5,77,99,No,telephone,22%
"Panasonic Panasonic KX-TS500FX Integrated Corded Telephone, White",0,0,1599,1599,No,telephone,0%
"Panasonic Panasonic KX-TS500FX Integrated Corded Telephone, Black",0,0,1599,1599,No,telephone,0%
Alcatel Alcatel T26 Corded Telephone - Black,2,5,1050,1500,No,telephone,30%
Panasonic Panasonic KX-TSC11FX Corded Telephone - White,1,5,2039,2200,No,telephone,7%
EL-Adl.Tec EL-Adl.Tec  wired landline phone - 101BE,2,5,529,599,No,telephone,12%
Philips Cordless Phone D1611B/63 - Non Slip Grip  (Black Color),29,4.6,1775,2500,No,telephone,29%
Alcatel AlCatel T56 - White,2,5,1369,1699,No,telephone,19%
Generic D1001 Cordless DECT Phone - 3-Line Display - Conference Calling - Intercom Support - LED Indicator - Supports 16 Interface Languages - Black,0,0,1966,1966,No,telephone,0%
Panasonic Panasonic KX-TGK210 Digital Cordless Phone -White,1,5,4999,4999,No,telephone,0%
"Panasonic Panasonic Cordless Home Telephone, Black - KX-TG3611",1,5,2199,2599,No,telephone,15%
Generic D1001 Cordless Telephone - Black eladel tec,0,0,1690,2100,No,telephone,20%
Panasonic Panasonic KX-TGK210 Digital Cordless Phone -Black,0,0,4999,4999,No,telephone,0%
Alcatel Phone Corded T 28 - CE Color-Black,1,5,1048,1048,No,telephone,0%
Meetion Meetion telephone Headset - HP003,3,4.5,460,599,No,telephone,23%
Dual-Port ADSL Telephone Line Splitter (Phone + Modem) with 12cm Built-in Cable - Model SP-608B,0,0,84,84,No,telephone,0%
"NEORTX RJ9 to RJ9 Cable 6.5ft, Male to Male 4P4C Telephone Handset Coiled Cord, Spiral Cable (White)",0,0,40,100,No,telephone,60%
"Panasonic Panasonic Digital Cordless Phone With Eco Function, Power Back-Up Operation, Nuisance Call Block – KX-TGD310 Silver",3,3.7,3899,4200,No,telephone,7%
Meetion Meetion single-Ear Telephone Headset - HP002,2,5,399,549,No,telephone,27%
"Meetion Meetion USB Single Ear Telephone Headset - HP002U, Black",1,5,603.75,749,No,telephone,19%
"Schneider Electric Telephone Outlet, Miluz E, 6 Pin, 4 Wire, Mechanism With Shutter, White",0,0,86.4,95,No,telephone,9%
Philips Cordless Telephone - D1611B - DECT Telephone - Home Telephone - Landline Connection - Black,1,4,2395,2395,No,telephone,0%
Philips D1601B/63 Cordless Telephone - Black,12,4.7,2900,2900,No,telephone,0%
EL-Adl.Tec Adl Tech Intercom Telephone Kit with Caller ID,0,0,854,854,No,telephone,0%
Panasonic Panasonic KX-TG1611 Digital Cordless Phone,0,0,2599,2599,No,telephone,0%
"Schneider Electric Schneider Electric Telephone socket, New Unica, RJ12, 1 connector, 1 module, beige",0,0,283,330,No,telephone,14%
Panasonic Wired Landline Phone KX-TS500FX -White,0,0,1799,2500,No,telephone,28%
EL-Adl.Tec El.Adl Tec Cordless Wireless Dect Telephone - d1003,1,5,1999,3900,No,telephone,49%
Generic 114BE Heavy Duty Landline Telephone - Large Buttons for Easy Use - Robust Design for Everyday Use - Desk or Wall Mount Model - Gray,0,0,742,742,No,telephone,0%
Generic Landline Phone  D1601B/63 - with Illuminated Screen - Slip Resistant - Speed Dial - Call Log - Black,0,0,2555,2555,No,telephone,0%
Generic Landline Phone 300C  - LCD Screen - Call Memory - Remote Talk - Built-in Alarm - White,0,0,923,923,No,telephone,0%
Musical Telephone Toy Battery Operated  Fun And Entertainment For Kids,0,0,240,240,No,telephone,0%
RJ11/RJ45 Cable Tester & Tracker – Network & Telephone Line Diagnostic Tool,0,0,180,180,No,telephone,0%
"Panasonic Panasonic KX-TGD31OFXS  Digital Cordless Telephone, White",0,0,4500,4500,No,telephone,0%
"Panasonic KX-TGC410 DECT Cordless Phone Stylish, Compact Base Unit",0,0,4299,4500,No,telephone,4%
Children's House Educational Music Telephone - Red,0,0,400,400,No,telephone,0%
"Landline telephone with sound, music and lighting",0,0,120,120,No,telephone,0%
Gaoxinqi Gaoxinqi Corded Landline Telephone Black HCD399(96C)PITSDLB,0,0,699,699,No,telephone,0%
EL-Adl.Tec EL-ADL Tec 10BE Corded Landline Phone - Black,0,0,599,599,No,telephone,0%
EL-Adl.Tec El-ADL-TEC Corded Telephone - 923C,0,0,699,699,No,telephone,0%
"Gaoxinqi Gaoxinqi Corded Telephone, Grey - HA399(100)T",0,0,581,581,No,telephone,0%
"EL-Adl.Tec Corded Landline Telephone, 116BE - White",0,0,500,500,No,telephone,0%
EL-Adl.Tec Adl Tech 926C Corded Landline Telephone,0,0,649,649,No,telephone,0%
"Gaoxinqi Gaoxinqi Corded Telephone, Silver - HA399(100)T",0,0,581,581,No,telephone,0%
EL-Adl.Tec Adl Tech 500A Corded Landline Telephone - Black,0,0,699,699,No,telephone,0%
"Gaoxinqi Gaoxinqi Corded Telephone, HCD399(172)P-TSDL White",0,0,715,715,No,telephone,0%
EL-Adl.Tec Adl Tech Multi-Color Corded Landline Telephone 116BE,0,0,490,490,No,telephone,0%
Panasonic Panasonic KX-TGC410 Digital Cordless Phone - Black,0,0,3999,3999,No,telephone,0%
Panasonic Panasonic KX-TGD310 Digital Cordless Phone-White,0,0,4499,4499,No,telephone,0%
EL-Adl.Tec Corded Landline Telephone  - 50C,0,0,499,759,No,telephone,34%
EL-Adl.Tec El Adl Tec Landline Phone - Corded Phone - 101BE,0,0,466,750,No,telephone,38%
Panasonic Wired Landline Phone KX-TS500FX -Black,0,0,1550,2500,No,telephone,38%
Panasonic Panasonic KX-TS500 Integrated Corded Telephone White,0,0,1950,2200,No,telephone,11%
PABX PABX Excelltel PABX Telephone System Mini PBX MS series 3/8,0,0,2750,3000,No,telephone,8%
"Schneider Electric New Unica Telephone Socket - Rj12, 1 Connector, 1 Module, Beige",0,0,348,348,No,telephone,0%
Schneider Electric New Unica Telephone Socket - Rj12 - Anthracite,0,0,440.4,440.4,No,telephone,0%
"BOYA BOYA BY-MMC D Wireless Microphone for iPhone [MFi Certified] Magnetic Clip Noise Cancelling with Charging Case and 164ft Transmission Range and iPad Black, Mono",0,0,4750,5000,No,telephone,5%
باناسونيك هاتف اللاسلكي KX-TGD310FXS - فضي,0,0,4236,4236,No,telephone,0%
العدل تك El Adl Tec تليفون ارضي -هاتف سلكي- معرف المتصل - 60BE,3,4.7,759,759,No,telephone,0%
العدل تك El Adl Tec تليفون ارضي -هاتف سلكي- معرف المتصل - 60BE,4,4.1,649,999,No,telephone,35%
العدل تك تليفون ارضي سلكي العدل تك 999BE,0,0,699,699,No,telephone,0%
Gaoxinqi Corded Landline Telephone - HCD399-322-P/TSDL - MAROGN,0,0,720,720,No,telephone,0%
Panasonic Corded Telephone Black,2,5,1549,1699,No,telephone,9%
Panasonic Corded Telephone White/Grey,41,4.7,1499,1599,No,telephone,6%
Alcatel Handsfree Function Telephone Black,0,0,2500,2500,No,telephone,0%
Telephone Wire | Spiral Elastic Band | Bracelet | Ponytail Holder Hair Rubber Bands (Black 5pc),0,0,250,250,No,telephone,0%
"Philips Philips D1611B/63 Cordless Landline Phone – Digital DECT Telephone with 1.6"" Backlit Display, Caller ID, Speakerphone, Long Battery Life, Clear Sound, Wide Coverage, Ergonomic Design",0,0,1750,1999,No,telephone,12%
"Alcatel Alcatel S250 Cordless Landline Phone with LCD Display, Caller ID, Call Log, Clear Sound, Elegant Design, Reliable French Quality for Home or Office Use",1,5,1699,1999,No,telephone,15%
Electrical finishing package from Sanchi International - contains 50 bushings - 50 chassis - 50 socket bits - 30 switch bits - 50 plugs - 3 shower bits - 3 telephone bits - 1 bell button - two lamp switches (face color is black),0,0,4300,4300,No,telephone,0%
Conceptronic Arajah for making internet and telephone wires,0,0,165,165,No,telephone,0%
ADSL Landline Telephone Modem Splitter - RJ11 Female Plug to Dual Female Socket Adapter - (1 Pack),0,0,200,200,No,telephone,0%
Panasonic KX-TG1611 Cordless Phone Black,0,0,3499,3499,No,telephone,0%
Baby Phone Toy Music Sound Telephone Sleeping Toys With Teether Simulation Phone Kids Infant Early Educational Toy Kids Gifts,0,0,185,185,No,telephone,0%
Graham Bell – Inventor of the Telephone (Ages 9–15),0,0,161.2,162.5,No,telephone,1%
ألكاتل تليفون أرضي Alcatel T02 سلكي – تصميم مدمج وأنيق – قابل للتثبيت على الحائط – جودة صوت عالية – لون أسود – مثالي للمكاتب والمنازل,1,5,699,999,No,telephone,30%
general Music Box Looks Like Old Telephone,4,3.4,600,600,No,telephone,0%
SB-FE GTEL Telephone Socket - White,0,0,88,88,No,telephone,0%
Cartoon Telephone Dashing Pink Car - 25807E,0,0,1409,1409,No,telephone,0%
Telephone connection cable pure copper 10m,0,0,46,46,No,telephone,0%
Connection Cable For Telephones (2m),0,0,73,73,No,telephone,0%
"ELSEWEDY ELECTRIC EL SEWEDY Telephone Wire Roll, 1 Pair, 100m",0,0,1000,1000,No,telephone,0%
Generic Philips Cordless Landline Phone - Model 1601B for High Performance and Mobility,0,0,1950,1950,No,telephone,0%
Generic Alcatel Landline Phone - Classic Black Design for Reliable Performance and Clear Communication,0,0,1490,1490,No,telephone,0%
Generic ADSL Broadband Modem Telephone Phone Line Splitter Filter RJ11,0,0,50,50,No,telephone,0%
Us type telephone extension cord 2 meter grey rj-11 male plug telephone cable,0,0,38,38,No,telephone,0%
Panasonic White telephone socket,0,0,340,340,No,telephone,0%
Panasonic Silver telephone socket,0,0,141,141,No,telephone,0%
Panasonic Telephone socket - white - Roma - Panasonic - Indian - code WIRAM2164,0,0,124,124,No,telephone,0%
"Bticino Bticino Forma Max Telephone Socket, Beige",0,0,70,70,No,telephone,0%
"Bticino Bticino Matix Edge Telephone Socket, Beige",0,0,60,60,No,telephone,0%
Panasonic Panasonic WVTT14029WH Telephone Socket - White,0,0,514,514,No,telephone,0%
"Bticino Bticino Matix Edge Telephone Socket, White",0,0,60,60,No,telephone,0%
Panasonic WIRAM2164Sl Telephone Socket - Silver - Rome - Panasonic - Indian,0,0,141,141,No,telephone,0%
Panasonic Panasonic White Wide Telephone Socket Thailand Code WEG2364,0,0,442,442,No,telephone,0%
Bticino AM5958 11NE Matix EDGE White Telephone Socket,0,0,79,79,No,telephone,0%
Rabbit Shaped Telephone with Musical Keys - Multi Color,0,0,920,920,No,telephone,0%
Panasonic White telephone socket,0,0,396,396,No,telephone,0%
Panasonic White telephone socket,0,0,124,124,No,telephone,0%
"Bticino Bticino Forma Max Telephone Socket, White",0,0,70,70,No,telephone,0%
"EL-Adl.Tec Al-Adl Tech heavy-duty landline phone, model 50C, landline, with cord, showing 35 memory for incoming calls, redial function, LCD screen for year, month, date, and time",6,4.3,455,455,No,telephone,0%
Mi VAZA Kaloc LCD Rotating Wall-Mounted 65-Inch Tv Rack Monitor Activity Stand Black,20,4.5,1565,1569,No,telephone,0%
Panasonic Cordless Landline Telephone Black,8,3.4,3298,3298,No,telephone,0%
EL-Adl.Tec EL-ADLTECH Heavy Duty Telephone with Caller Number 300c Lcd Year Date Time Wait Music Listening 62 Memory Incoming Call Back Function,0,0,799,799,No,telephone,0%
Panasonic Digital Cordless Telephone Black,27,4.6,11000,11000,No,telephone,0%
Panasonic Cordless Landline Telephone With Caller ID Black,68,4,2753,2753,No,telephone,0%
"EL-Adl.Tec El Adltech 924C Landline Phone With ID Number,Speaker Phone,16 Ringer Melodies,Alarm Clock",3,3.8,699,699,No,telephone,0%
EL-Adl.Tec EL-ADLTECH 205be Heavy Duty Ground Phone with Calculator + Alarm + Illuminated Screen + Handfree Speaker,0,0,749,749,No,telephone,0%
EL-Adl.Tec EL-ADLTECH 112C Corded Heavy Duty Telephone with Dial Tone Last Number Redial Flash Function Pause Function and Mute Function,1,4,499,499,No,telephone,0%
ELTOHAMY Furniture Console Table Multicolour 90x35x120cm,2,5,6500,6800,No,telephone,4%
ELTOHAMY Furniture Console Table White 90x35x100cm,0,0,4850,5000,No,telephone,3%
Panasonic Digital Cordless Answering System With One Handset Black/White,7,3.9,5799,5799,No,telephone,0%
Panasonic Digital Cordless Landline Telephone Silver/Black,53,4.4,4425,4425,No,telephone,0%
ELTOHAMY Furniture Console Table Multicolour 90x35x150cm,0,0,5500,5500,No,telephone,0%
"Fanatical Prospecting: The Ultimate Guide to Opening Sales Conversations and Filling the Pipeline by Leveraging Social Selling, Telephone, Email, Text, and Cold Calling",1,5,155,155,No,telephone,0%
Yidoo Yidoo sticky notes  telephone shape  SN4005 Neon,3,4,68,68,No,telephone,0%
ألكاتل تليفون لاسلكي الكاتل F685,0,0,2199,3239,No,telephone,32%
Panasonic Digital Cordless Telephone Black,14,3.8,2474,2474,No,telephone,0%
Panasonic KX-TG1711UEW Cordless Phone White,1,5,4025,4025,No,telephone,0%
PLAYGO Tommy The Telephone Electronic Toy 7x6x5inch,1,5,1200,1200,No,telephone,0%
WinFun Telephone Mobile Educational 663,0,0,1589,1589,No,telephone,0%
Decorative porcelain telephone booth,0,0,499,499,No,telephone,0%
Generic Rubber Telephone Wire Hair Ties Spiral Slinky Hair Head Elastic Bands Set Color Mixing Fashion Transparent Clear Elastic Hair Bands Wire Styled Ties Spiral Rubber Rope Bobble (5PCS) random color,0,0,250,250,No,telephone,0%
Cable Telephone 15 Meter - Grey,1,5,120,150,No,telephone,20%
"A kit consisting of 33 integrated pieces for easy connection of networks, internet cables and telephones / STX800",0,0,3099,3330,No,telephone,7%
3 Meter Telephone Patch Cord,6,3.4,60,80,No,telephone,25%
Cable Telephone 25 Meter - Black,0,0,175,180,No,telephone,3%
Cable Telephone 3 meter - Black,0,0,75,90,No,telephone,17%
English for Telephoning: Student Book,0,0,171,240,No,telephone,29%
"A kit consisting of 7 integrated pieces for easy connection of networks, internet cables and telephones / STX700",0,0,2041,2333,No,telephone,13%
Baby Shark Telephone Set,1,5,246.2,246.2,No,telephone,0%
"A kit consisting of 33 integrated pieces for easy connection of networks, internet cables and telephones / STX600",0,0,2842,3000,No,telephone,5%
"A kit consisting of 33 integrated pieces for easy connection of networks, internet cables and telephones / STX200",0,0,2559,2673,No,telephone,4%
Telephone cable crimping tool with built-in wire cutter / SDS10,0,0,331,331,No,telephone,0%
"A kit consisting of 33 integrated pieces for easy connection of networks, internet cables and telephones / STX300",0,0,2599,3240,No,telephone,20%
Electronic Telephone Toy,0,0,149,149,No,telephone,0%
"A kit consisting of 25 integrated pieces for easy connection of networks, internet cables and telephones / STX100",0,0,2559,2673,No,telephone,4%
Cover two outlets for the Internet and telephones / CCV20,0,0,222,333,No,telephone,33%
Effective Telephoning: Audio Cassette,0,0,112,168,No,telephone,33%
Telephone Triage Protocols for Nurses . 2001 Paperback English by Julie K. Briggs - 2001,0,0,1650,1650,No,telephone,0%
"A kit consisting of 62 integrated pieces for easy connection of networks, internet cables and telephones / STX500",0,0,1679,1800,No,telephone,7%
Essential Telephoning In English: Student's Book Paperback English by Barbara Garside - 20-Aug-14,0,0,191.8,191.8,No,telephone,0%
Effective Telephone Fundraising: The Ultimate Guide To Raising More Money Paperback English by Stephen F. Schatz - 14-Apr-10,0,0,736,736,No,telephone,0%
Telephone Wire -White,1,5,90,90,No,telephone,0%
Philips Philips D1601B/63 Cordless Telephone - Black,0,0,1699,1699,No,telephone,0%
Philips Philips D1611B/63 Cordless Telephone - Black,0,0,1750,1750,No,telephone,0%
Apt 3-piece set: 7-inch pliers + 6-inch pliers + 6-inch telephone pliers APT,1,5,430,430,No,telephone,0%
LANLONG Lanlong English 0.5-6mm2 drop wire crimping pliers for internet and telephone cables,0,0,250,250,No,telephone,0%
Generic Rubber Telephone Wire Hair Ties Spiral Slinky Hair Head Elastic Bands Set Color Mixing Fashion Transparent Clear Elastic Hair Bands Wire Styled Ties Spiral Rubber Rope Bobble (5PCS) random color,0,0,250,250,No,telephone,0%
Panasonic KX-TGB110 Cordless Telephone Black,0,0,2599,2599,No,telephone,0%
Ohm Pure Copper Telephone Cable Roll 1 Pair 2 Core 0.50 mm - 100 Meter Length - Ohm Cables,0,0,650,650,No,telephone,0%
RJ45/RJ11/RJ12 LAN Crossover Network/Telephone Cable Tester,0,0,286,286,No,telephone,0%
EL-Adl.Tec AL-ADL.TEC Corded home phone 101BE,0,0,445,699,No,telephone,36%
"Safwa Toys Children's toy, T-41 toy telephone from Al Safwa Toys",0,0,246,246,No,telephone,0%
Drago D1000- 2.4 Inch 2 SIM Card Mobile Phone - Black - desert telephone,0,0,1899,3000,No,telephone,37%
TOTAL Net and Telephone Connection Crimper and Wire Stripping,1,5,399,399,No,telephone,0%
EL-Adl.Tec Corded Landline Telephone  - 50C,0,0,520,720,No,telephone,28%
Panasonic Panasonic Dect Cordless Telephone - Kx-Tg6711,0,0,4400,4400,No,telephone,0%
Cartoon Telephone Dashing Pink Car - 25807E,0,0,1409,1409,No,telephone,0%
Al Safwa Al Safwa T-41 Telephone Musical Toy Multicolor assorted shapes,0,0,417,417,No,telephone,0%
Generic Black Simple Telephone Wire Hair Accessories Elastic Telephone Cord Hair Band  5PCS,0,0,250,250,No,telephone,0%
Generic Black Simple Telephone Wire Hair Accessories Elastic Telephone Cord Hair Band  5PCS,0,0,250,250,No,telephone,0%
Generic Black Simple Telephone Wire Hair Accessories Elastic Telephone Cord Hair Band  5PCS,0,0,250,250,No,telephone,0%
Generic Black Simple Telephone Wire Hair Accessories Elastic Telephone Cord Hair Band  5PCS,0,0,250,250,No,telephone,0%
Generic Black Simple Telephone Wire Hair Accessories Elastic Telephone Cord Hair Band  5PCS,0,0,250,250,No,telephone,0%
Generic Black Simple Telephone Wire Hair Accessories Elastic Telephone Cord Hair Band  5PCS,0,0,250,250,No,telephone,0%
Generic M Furniture corner table 55x55,0,0,1899,3000,No,telephone,37%
Generic Multi Colours Curly Telephone Wire Elastic Head Tie Headband Rubber Hair Band Girl 8PCS may vary color sph12,0,0,350,350,No,telephone,0%
Generic Rubber Telephone Wire Hair Ties Spiral Slinky Hair Head Elastic Bands Set Color Mixing Fashion Transparent Clear Elastic Hair Bands Wire Styled Ties Spiral Rubber Rope Bobble (5PCS) random color,0,0,250,250,No,telephone,0%
Generic Multi Colours Curly Telephone Wire Elastic Head Tie Headband Rubber Hair Band Girl 4PCS may vary color,0,0,200,200,No,telephone,0%
Telephone Card Game Set - Multicolor,0,0,145,155,No,telephone,6%
Generic Multi Colours Curly Telephone Wire Elastic Head Tie Headband Rubber Hair Band Girl 8PCS may vary color sph11,0,0,350,350,No,telephone,0%
Generic Multi Colours Curly Telephone Wire Elastic Head Tie Headband Rubber Hair Band Girl 8PCS may vary color,0,0,350,350,No,telephone,0%
Generic Multi Colours Curly Telephone Wire Elastic Head Tie Headband Rubber Hair Band Girl 4PCS may vary color,0,0,200,200,No,telephone,0%
Generic Multi Colours Curly Telephone Wire Elastic Head Tie Headband Rubber Hair Band Girl 8PCS may vary color sph15,0,0,350,350,No,telephone,0%
"Generic hair tie set Set of Spiral Hair Bobbles - Hair Bobbles for Less Split Ends and Broken Hair - Hair Scrunchies Spiral for Fine Hair Parts - Telephone Black 4PCS +Black Elastic Hair Ties - 6pcs Soft Thick Hair Ties, No Damage",0,0,350,350,No,telephone,0%
Generic Rubber Telephone Wire Hair Ties Spiral Slinky Hair Head Elastic Bands Set Color Mixing Fashion Transparent Clear Elastic Hair Bands Wire Styled Ties Spiral Rubber Rope Bobble (5PCS) random color,0,0,250,250,No,telephone,0%
Generic Rubber Telephone Wire Hair Ties Spiral Slinky Hair Head Elastic Bands Set Color Mixing Fashion Transparent Clear Elastic Hair Bands Wire Styled Ties Spiral Rubber Rope Bobble (5PCS) random color,0,0,250,250,No,telephone,0%
Generic Rubber Telephone Wire Hair Ties Spiral Slinky Hair Head Elastic Bands Set Color Mixing Fashion Transparent Clear Elastic Hair Bands Wire Styled Ties Spiral Rubber Rope Bobble (5PCS) random color,0,0,250,250,No,telephone,0%
Generic Rubber Telephone Wire Hair Ties Spiral Slinky Hair Head Elastic Bands Set Color Mixing Fashion Transparent Clear Elastic Hair Bands Wire Styled Ties Spiral Rubber Rope Bobble (10PCS) random color,0,0,450,450,No,telephone,0%
Generic Rubber Telephone Wire Hair Ties Spiral Slinky Hair Head Elastic Bands Set Color Mixing Fashion Transparent Clear Elastic Hair Bands Wire Styled Ties Spiral Rubber Rope Bobble (10PCS) random color,0,0,450,450,No,telephone,0%
Generic Rubber Telephone Wire Hair Ties Spiral Slinky Hair Head Elastic Bands Set Color Mixing Fashion Transparent Clear Elastic Hair Bands Wire Styled Ties Spiral Rubber Rope Bobble (5PCS) random color,0,0,250,250,No,telephone,0%
Generic Rubber Telephone Wire Hair Ties Spiral Slinky Hair Head Elastic Bands Set Color Mixing Fashion Transparent Clear Elastic Hair Bands Wire Styled Ties Spiral Rubber Rope Bobble (5PCS) random color,0,0,250,250,No,telephone,0%
Generic Rubber Telephone Wire Hair Ties Spiral Slinky Hair Head Elastic Bands Set Color Mixing Fashion Transparent Clear Elastic Hair Bands Wire Styled Ties Spiral Rubber Rope Bobble (10PCS) random color,0,0,450,450,No,telephone,0%
